EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1	TEST_ACCURACY
1	15:16:31	0.0100	0.1518	0.1380	0.6615	0.6946	0.6776	0.5981
2	15:25:09	0.0100	0.0929	0.1409	0.6596	0.6946	0.6766	0.5999
